date,open,high,low,close,volume
2024-01-01,42351,42515,42323,42498,32509
2024-01-02,42095,42217,41976,41984,20691
2024-01-03,42191,42217,42113,42193,13994
2024-01-04,42199,42445,42076,42165,28015
2024-01-05,42091,42321,41822,41846,2271
2024-01-06,42355,42625,42296,42362,9325
2024-01-07,42073,42303,41891,42281,5076
2024-01-08,42254,42257,42223,42236,5989
2024-01-09,42350,42549,42109,42298,33654
2024-01-10,42201,42273,42015,42145,14841
2024-01-11,42151,42434,41965,42345,27328
2024-01-12,42255,42393,42070,42228,11874
2024-01-13,42333,42356,42090,42096,17413
2024-01-14,42152,42341,42092,42254,23058
2024-01-15,42415,42498,42293,42387,23881
2024-01-16,42104,42294,42062,42290,1314
2024-01-17,42169,42292,41918,42209,20256
2024-01-18,42101,42317,41871,42283,15527
2024-01-19,42117,42158,41902,41954,31549
2024-01-20,42030,42132,41756,42000,13998
2024-01-21,42450,42702,42198,42252,2108
2024-01-22,42444,42548,42175,42208,29652
2024-01-23,42351,42579,42170,42360,7911
2024-01-24,42433,42478,42140,42294,20409
2024-01-25,42478,42670,42245,42262,6375
2024-01-26,42020,42045,41962,42000,9744
2024-01-27,42454,42627,42324,42480,25589
2024-01-28,42175,42363,41926,42065,18891
2024-01-01,42374,42405,42251,42305,10859
2024-01-02,42377,42617,42216,42222,6099
2024-01-03,42201,42490,41964,42250,18842
2024-01-04,42327,42417,42319,42346,31598
2024-01-05,42164,42273,41926,42264,31581
2024-01-06,42227,42252,41961,42004,14536
2024-01-07,42139,42416,41925,42394,9732
2024-01-08,42122,42256,41837,41974,23355
2024-01-09,42169,42227,41943,42034,24532
2024-01-10,42395,42532,42106,42525,4724
2024-01-11,42366,42484,42211,42435,22429
2024-01-12,42033,42242,41741,42208,4003
2024-01-13,42203,42345,41962,42327,25164
2024-01-14,42296,42497,42048,42150,24273
2024-01-15,42426,42623,42167,42380,20790
2024-01-16,42225,42448,42036,42217,29767
2024-01-17,42307,42490,42105,42122,3160
2024-01-18,42037,42134,41954,42003,24993
2024-01-19,42022,42219,41906,42208,23508
2024-01-20,42363,42409,42178,42182,15309
2024-01-21,42170,42317,42113,42311,15308
2024-01-22,42046,42247,42026,42102,27389
2024-01-23,42386,42658,42371,42570,20003
2024-01-24,42387,42521,42178,42395,6418
2024-01-25,42465,42657,42241,42262,27304
2024-01-26,42440,42689,42149,42456,11127
2024-01-27,42184,42420,42065,42069,24436
2024-01-28,42002,42161,41775,41776,11466
2024-01-01,42130,42345,42026,42140,33630
2024-01-02,42158,42418,41926,42237,4018
2024-01-03,42175,42260,42090,42125,6942
2024-01-04,42010,42225,41917,42076,13530
2024-01-05,42217,42447,42087,42096,21614
2024-01-06,42496,42676,42325,42489,26347
2024-01-07,42020,42069,41877,41883,2510
2024-01-08,42145,42184,42057,42076,14930
2024-01-09,42270,42310,42216,42296,1706
2024-01-10,42122,42313,41993,42026,11337
2024-01-11,42218,42251,42091,42095,14606
2024-01-12,42197,42469,42043,42368,7633
2024-01-13,42302,42371,42194,42231,14837
2024-01-14,42322,42558,42170,42381,31184
2024-01-15,42472,42487,42255,42349,32511
2024-01-16,42373,42484,42356,42463,28515
2024-01-17,42446,42707,42179,42205,13905
2024-01-18,42352,42558,42145,42360,11762
2024-01-19,42307,42360,42268,42331,32613
2024-01-20,42030,42100,41814,42055,31834
2024-01-21,42211,42380,42024,42044,10999

2024-01-22,42147,42291,41895,42073,5784
2024-01-23,42148,42446,42104,42424,10395
2024-01-24,42482,42694,42368,42639,13500
2024-01-25,42200,42279,42009,42260,21873
2024-01-26,42294,42363,42052,42331,24203
2024-01-27,42346,42486,42256,42288,10101
2024-01-28,42117,42351,42074,42163,28979
2024-01-01,42252,42396,42079,42365,6393
2024-01-02,42345,42465,42202,42267,28923
2024-01-03,42412,42551,42336,42477,3519
2024-01-04,42371,42604,42312,42373,25899
2024-01-05,42477,42612,42278,42300,24094
2024-01-06,42013,42145,41958,42127,21591
2024-01-07,42489,42515,42401,42466,27807
2024-01-08,42276,42529,42008,42247,29504
2024-01-09,42193,42478,42052,42372,11351
2024-01-10,42273,42450,42239,42397,13808
2024-01-11,42406,42478,42124,42413,13050
2024-01-12,42346,42358,42149,42266,9990
2024-01-13,42488,42686,42467,42480,16333
2024-01-14,42223,42330,42056,42228,17144
2024-01-15,42422,42691,42398,42554,22057
2024-01-16,42230,42444,42044,42439,16648
2024-01-17,42452,42646,42412,42515,16455
2024-01-18,42229,42294,42181,42220,31803
2024-01-19,42299,42388,42281,42387,9231
2024-01-20,42213,42310,42093,42175,27103
2024-01-21,42470,42490,42201,42414,29090
2024-01-22,42415,42632,42121,42404,24678
2024-01-23,42310,42313,42071,42080,16613
2024-01-24,42003,42231,41888,41901,5313
2024-01-25,42345,42357,42090,42235,26726
2024-01-26,42151,42315,42090,42116,23618
2024-01-27,42101,42341,42007,42058,3024
2024-01-28,42202,42387,42155,42232,14906
2024-01-01,42062,42111,41911,42105,19960
2024-01-02,42159,42359,41905,42246,14500
2024-01-03,42468,42672,42434,42548,22349
2024-01-04,42063,42152,42008,42065,25359
2024-01-05,42374,42624,42168,42448,18926
2024-01-06,42307,42420,42300,42420,2561
2024-01-07,42462,42473,42361,42378,5529
2024-01-08,42448,42457,42362,42386,22598
2024-01-09,42356,42597,42335,42424,16348
2024-01-10,42050,42209,41839,42170,1808
2024-01-11,42340,42354,42152,42328,29378
2024-01-12,42086,42240,41960,42082,1564
2024-01-13,42270,42276,42194,42229,28940
2024-01-14,42163,42399,42021,42052,8698
2024-01-15,42145,42224,41893,42095,24331
2024-01-16,42199,42217,41943,41957,15068
2024-01-17,42452,42717,42418,42691,26501
2024-01-18,42165,42246,42091,42133,13247
2024-01-19,42090,42142,42057,42097,7104
2024-01-20,42162,42314,41896,41923,15581
2024-01-21,42413,42420,42292,42330,27510
2024-01-22,42188,42246,41947,42211,2821
2024-01-23,42222,42348,42055,42098,8888
2024-01-24,42056,42203,42000,42080,18837
2024-01-25,42117,42335,41999,42033,1167
2024-01-26,42006,42169,41956,42031,14051
2024-01-27,42351,42601,42267,42545,8113
2024-01-28,42478,42773,42232,42641,9618
2024-01-01,42495,42585,42459,42566,15897
2024-01-02,42283,42289,42135,42136,27487
2024-01-03,42082,42107,42067,42082,28904
2024-01-04,42009,42062,41977,41998,13733
2024-01-05,42356,42445,42224,42427,15124
2024-01-06,42227,42477,42082,42427,14719
2024-01-07,42241,42358,42214,42313,30964
2024-01-08,42228,42422,42191,42208,29360
2024-01-09,42250,42282,42236,42268,13770
2024-01-10,42336,42402,42333,42397,15257
2024-01-11,42102,42170,41881,41953,13028
2024-01-12,42342,42457,42195,42340,15554
2024-01-13,42416,42647,42312,42629,6093
2024-01-14,42305,42363,42107,42224,19532

2024-01-15,42445,42611,42156,42280,28578
2024-01-16,42150,42415,41888,42247,21103
2024-01-17,42319,42467,42209,42442,25474
2024-01-18,42425,42629,42236,42298,5716
2024-01-19,42170,42273,41937,42247,2476
2024-01-20,42002,42299,41886,41960,2469
2024-01-21,42150,42393,41861,41999,17796
2024-01-22,42210,42328,41941,41984,16516
2024-01-23,42493,42578,42255,42571,14680
2024-01-24,42049,42260,41797,41819,15001
2024-01-25,42329,42585,42141,42270,28099
2024-01-26,42136,42240,41994,42097,9940
2024-01-27,42394,42679,42343,42647,6894
2024-01-28,42488,42493,42192,42485,7250
2024-01-01,42072,42171,41984,42018,13742
2024-01-02,42385,42648,42112,42437,5580
2024-01-03,42123,42333,41832,42068,33141
2024-01-04,42445,42574,42356,42473,14467
2024-01-05,42404,42500,42318,42480,9426
2024-01-06,42103,42309,41851,41959,19419
2024-01-07,42318,42413,42088,42138,25083
2024-01-08,42403,42639,42403,42424,10997
2024-01-09,42499,42588,42272,42447,5662
2024-01-10,42306,42449,42108,42170,25135
2024-01-11,42019,42287,41967,42254,5597
2024-01-12,42248,42411,42084,42344,23631
2024-01-13,42251,42488,41986,42425,15841
2024-01-14,42405,42692,42277,42657,15803
2024-01-15,42412,42563,42404,42420,18259
2024-01-16,42469,42641,42268,42561,11504
2024-01-17,42215,42475,41952,42250,15245
2024-01-18,42061,42347,42019,42339,16041
2024-01-19,42256,42406,42194,42301,20226
2024-01-20,42327,42590,42133,42390,28373
2024-01-21,42164,42380,41913,42237,20514
2024-01-22,42250,42357,41955,42049,10134
2024-01-23,42227,42422,42188,42243,20642
2024-01-24,42280,42503,42268,42390,7594
2024-01-25,42126,42132,41855,42013,5786
2024-01-26,42416,42474,42252,42269,10412
2024-01-27,42305,42368,42104,42235,25008
2024-01-28,42096,42339,41877,41994,31543
2024-01-01,42086,42110,41973,41994,24463
2024-01-02,42356,42526,42331,42493,10435
2024-01-03,42331,42385,42276,42330,17342
2024-01-04,42245,42341,42023,42024,14501
2024-01-05,42432,42473,42325,42464,11555
2024-01-06,42359,42371,42079,42330,23384
2024-01-07,42045,42147,41799,42058,31399
2024-01-08,42030,42093,41835,41848,26291
2024-01-09,42090,42240,41830,42149,1941
2024-01-10,42369,42375,42156,42373,5525
2024-01-11,42268,42559,42142,42251,32780
2024-01-12,42267,42417,42111,42334,14711
2024-01-13,42102,42294,42001,42294,28853
2024-01-14,42291,42462,42262,42393,1432
2024-01-15,42449,42704,42334,42622,13272
2024-01-16,42350,42442,42173,42256,29591
2024-01-17,42046,42308,41980,42250,4055
2024-01-18,42216,42420,42093,42378,20680
2024-01-19,42450,42462,42385,42461,30658
2024-01-20,42197,42309,42054,42293,9894
2024-01-21,42471,42521,42371,42465,2699
2024-01-22,42340,42443,42159,42307,21933
2024-01-23,42080,42376,41883,42243,31142
2024-01-24,42334,42347,42044,42274,16889
2024-01-25,42205,42335,41970,41999,25762
2024-01-26,42414,42699,42332,42643,26074
2024-01-27,42154,42349,41966,42349,8813
2024-01-28,42467,42766,42299,42593,23573
2024-01-01,42193,42321,42110,42155,7518
2024-01-02,42096,42354,41879,41880,29231
2024-01-03,42321,42518,42075,42428,32298
2024-01-04,42148,42300,41849,42093,8149
2024-01-05,42408,42576,42290,42391,12491
2024-01-06,42231,42517,42114,42328,6089
2024-01-07,42276,42567,42221,42470,23772

2024-01-08,42224,42245,42052,42096,19535
2024-01-09,42022,42267,41723,41885,21369
2024-01-10,42078,42339,41853,42054,23361
2024-01-11,42072,42312,41793,41961,3766
2024-01-12,42251,42337,42103,42300,29725
2024-01-13,42031,42319,41844,41849,24287
2024-01-14,42282,42379,42010,42180,12698
2024-01-15,42211,42344,41916,42292,32692
2024-01-16,42376,42662,42157,42360,31487
2024-01-17,42065,42188,41980,42107,29904
2024-01-18,42110,42211,41830,41915,8040
2024-01-19,42050,42290,41766,41945,32359
2024-01-20,42193,42237,42042,42222,13407
2024-01-21,42386,42578,42246,42503,22703
2024-01-22,42197,42350,42136,42347,4337
2024-01-23,42496,42658,42293,42350,19036
2024-01-24,42258,42528,42094,42189,4269
2024-01-25,42208,42287,42146,42235,32219
2024-01-26,42466,42484,42263,42354,3078
2024-01-27,42152,42387,41996,42142,2136
2024-01-28,42017,42068,41987,42011,30767
2024-01-01,42472,42745,42439,42631,6022
2024-01-02,42304,42388,42210,42266,1005
2024-01-03,42022,42293,41940,42268,22399
2024-01-04,42132,42237,41980,42173,2011
2024-01-05,42397,42569,42151,42423,8219
2024-01-06,42300,42346,42248,42276,27607
2024-01-07,42239,42286,42021,42211,21059
2024-01-08,42273,42559,42264,42316,19205
2024-01-09,42481,42583,42214,42568,29868
2024-01-10,42250,42268,42245,42258,6516
2024-01-11,42173,42356,41886,42355,24945
2024-01-12,42441,42740,42359,42689,23259
2024-01-13,42482,42650,42434,42637,27054
2024-01-14,42421,42695,42267,42467,4708
2024-01-15,42069,42351,42025,42098,7570
