date,open,high,low,close,volume
2024-01-01,42351,42515,42323,42498,32509
2024-01-02,42095,42217,41976,41984,20691
2024-01-03,42191,42217,42113,42193,13994
2024-01-04,42199,42445,42076,42165,28015
2024-01-05,42091,42321,41822,41846,2271
2024-01-06,42355,42625,42296,42362,9325
2024-01-07,42073,42303,41891,42281,5076
2024-01-08,42254,42257,42223,42236,5989
2024-01-09,42350,42549,42109,42298,33654
2024-01-10,42201,42273,42015,42145,14841
2024-01-11,42151,42434,41965,42345,27328
2024-01-12,42255,42393,42070,42228,11874
2024-01-13,42333,42356,42090,42096,17413
2024-01-14,42152,42341,42092,42254,23058
2024-01-15,42415,42498,42293,42387,23881
2024-01-16,42104,42294,42062,42290,1314
2024-01-17,42169,42292,41918,42209,20256
2024-01-18,42101,42317,41871,42283,15527
2024-01-19,42117,42158,41902,41954,31549
2024-01-20,42030,42132,41756,42000,13998
2024-01-21,42450,42702,42198,42252,2108
2024-01-22,42444,42548,42175,42208,29652
2024-01-23,42351,42579,42170,42360,7911
2024-01-24,42433,42478,42140,42294,20409
2024-01-25,42478,42670,42245,42262,6375
2024-01-26,42020,42045,41962,42000,9744
2024-01-27,42454,42627,42324,42480,25589
2024-01-28,42175,42363,41926,42065,18891
2024-01-01,42374,42405,42251,42305,10859
2024-01-02,42377,42617,42216,42222,6099
2024-01-03,42201,42490,41964,42250,18842
2024-01-04,42327,42417,42319,42346,31598
2024-01-05,42164,42273,41926,42264,31581
2024-01-06,42227,42252,41961,42004,14536
2024-01-07,42139,42416,41925,42394,9732
2024-01-08,42122,42256,41837,41974,23355
2024-01-09,42169,42227,41943,42034,24532
2024-01-10,42395,42532,42106,42525,4724
2024-01-11,42366,42484,42211,42435,22429
2024-01-12,42033,42242,41741,42208,4003
2024-01-13,42203,42345,41962,42327,25164
2024-01-14,42296,42497,42048,42150,24273
2024-01-15,42426,42623,42167,42380,20790
2024-01-16,42225,42448,42036,42217,29767
2024-01-17,42307,42490,42105,42122,3160
2024-01-18,42037,42134,41954,42003,24993
2024-01-19,42022,42219,41906,42208,23508
2024-01-20,42363,42409,42178,42182,15309
2024-01-21,42170,42317,42113,42311,15308
