date,open,high,low,close,volume
2024-01-01,97,319,-81,-75,7827
2024-01-02,581,818,316,480,8993
2024-01-03,210,300,16,289,4374
2024-01-04,478,591,345,369,28341
2024-01-05,124,301,-69,159,13940
2024-01-06,510,600,482,582,13117
2024-01-07,302,308,302,308,11509
2024-01-08,164,243,152,241,22768
2024-01-09,425,605,248,509,24367
2024-01-10,583,622,471,488,19446
2024-01-11,567,818,456,497,9599
2024-01-12,445,484,417,439,14114
2024-01-13,438,572,147,215,22004
2024-01-14,524,543,510,539,24334
2024-01-15,141,226,-84,189,32372
2024-01-16,341,382,87,120,10435
2024-01-17,99,194,-151,117,5038
2024-01-18,229,424,46,156,19144
2024-01-19,562,623,508,568,16528
2024-01-20,200,276,-86,57,17669
2024-01-21,582,769,554,618,3458
2024-01-22,248,479,76,306,31729
2024-01-23,240,291,150,287,7367
2024-01-24,399,598,197,294,22856
2024-01-25,211,422,-34,-20,19211
2024-01-26,305,312,285,286,25812
2024-01-27,471,498,377,487,22588
2024-01-28,506,696,216,691,33113
2024-01-01,576,694,436,491,8652
2024-01-02,95,358,-31,234,25676
2024-01-03,424,430,147,421,6848
2024-01-04,270,490,182,182,23220
2024-01-05,130,211,-160,-121,7605
2024-01-06,192,482,-77,231,32982
2024-01-07,308,386,260,377,33632
2024-01-08,591,846,511,775,25237
2024-01-09,217,308,203,207,25752
2024-01-10,526,814,429,753,12702
2024-01-11,407,574,278,279,11114
2024-01-12,568,841,370,557,23346
2024-01-13,321,577,108,321,23068
2024-01-14,429,531,348,356,28196
2024-01-15,407,430,192,382,7397
2024-01-16,195,285,133,228,22546
2024-01-17,513,769,356,465,12179
2024-01-18,251,492,238,399,3303
2024-01-19,298,537,201,314,29348
2024-01-20,244,506,184,447,10088
2024-01-21,370,396,148,162,33248
